Time	Distance	Velocity
1.87	0.66256	-1.13342
1.872	0.66029	-1.13512
1.874	0.65802	-1.13681
1.876	0.65574	-1.13847
1.878	0.65346	-1.14012
1.88	0.65118	-1.14175
1.882	0.6489	-1.14337
1.884	0.64661	-1.14497
1.886	0.64432	-1.14655
1.888	0.64202	-1.14811
1.89	0.63972	-1.14966
1.892	0.63742	-1.15119
1.894	0.63512	-1.1527
1.896	0.63281	-1.1542
1.898	0.6305	-1.15568
1.9	0.62819	-1.15714
1.902	0.62587	-1.15859
1.904	0.62355	-1.16002
1.906	0.62123	-1.16143
1.908	0.61891	-1.16283
1.91	0.61658	-1.16421
1.912	0.61425	-1.16557
1.914	0.61192	-1.16692
1.916	0.60958	-1.16825
1.918	0.60725	-1.16956
1.92	0.60491	-1.17086
1.922	0.60256	-1.17213
1.924	0.60022	-1.1734
1.926	0.59787	-1.17464
1.928	0.59552	-1.17587
1.93	0.59317	-1.17709
1.932	0.59081	-1.17828
1.934	0.58845	-1.17946
1.936	0.58609	-1.18063
1.938	0.58373	-1.18177
1.94	0.58137	-1.1829
1.942	0.579	-1.18402
1.944	0.57663	-1.18512
